name,group,type,value_set,format,possible_if,db_required,neris_core,neris_core_dependency,computed,cardinality,orm_map_landing,definition,example,comments
fd_neris_id,general,Text,FALSE,Two letter entity type plus state and county FIPS or Zip Code plus random trailing characters,,TRUE,TRUE,,FALSE,Single,"Dept.neris_id, DeptHist.neris_id_dept",Unique identifier for the agency in NERIS.  Entity type plus state and county FIPS plus with random trailing characters.,FD06067001,Please see id_types sheet
fd_id_legacy,general,Text,FALSE,String of 255 max characters,,FALSE,FALSE,,FALSE,Single,DeptHist.internal_id,Legacy FDID for linkage to other data sets.,51001,
fd_name,general,Text,FALSE,String of 255 max characters,,TRUE,TRUE,,FALSE,Single,DeptHist.name,Name of the agency.,Fairfax County Fire Rescue,
fd_parent_name,general,Text,TRUE,See core_mod_entity_fd.fd_name,,FALSE,FALSE,,FALSE,Single,join to Dept via RelDeptDept,Department's parent department's name.,ABC Fire Department,
fd_child_name,children,Array[Text],TRUE,See core_mod_entity_fd.fd_name,,FALSE,FALSE,,FALSE,Multiple,join to Dept via RelDeptDept,Names of departments which are children of the department.,DEF Fire Department,
fd_aid_name,aid,Array[Text],TRUE,See core_mod_entity_fd.fd_name,,FALSE,FALSE,,FALSE,Multiple,join to Dept via RelDeptDept,Name of department with which the department has an aid relationship.,Brick Fire Department,
fd_aid_type,general,Array[Text],TRUE,See type_rel_dept_dept.value,,FALSE,FALSE,,FALSE,Multiple,join to Dept via RelDeptDept,Type of aid.,See type_rel_dept_dept.value,
fd_address_1,general,Text,FALSE,String of 255 max characters,,TRUE,TRUE,,FALSE,Single,DeptHist.address_line_1,Physical address of agency HQ.,1234 Market St,
fd_address_2,general,Text,FALSE,String of 255 max characters,,FALSE,FALSE,,FALSE,Single,DeptHist.address_line_2,Additional address information.,Apt. Number,
fd_city,general,Text,FALSE,String of 255 max characters,,TRUE,TRUE,,FALSE,Single,DeptHist.city,City in which agency is located.,Baltimore,
fd_state,general,Text,TRUE,StatesTerrs enum,,TRUE,TRUE,,FALSE,Single,DeptHist.state,State in which agency is located.,Maryland,
fd_zip,general,Text,FALSE,"""00000"" formatted string",,TRUE,TRUE,,FALSE,Single,DeptHist.zip_code,Zip Code in which agency is located.,21230,
fd_mailing_address_1,general,Text,FALSE,String of 255 max characters,,TRUE,TRUE,,FALSE,Single,DeptHist.address_line_1,Agency mailing address.,1234 Market St,
fd_mailing_address_2,general,Text,FALSE,String of 255 max characters,,FALSE,FALSE,,FALSE,Single,DeptHist.address_line_2,Additional mailing address information.,Apt. Number,
fd_mailing_city,general,Text,FALSE,String of 255 max characters,,TRUE,TRUE,,FALSE,Single,DeptHist.city,City of agency mailing address.,Baltimore,
