name,type,group,possible_if,db_required,computed,computed_from,cardinality,value_set,value_set_location,description,example,comments
event_id,Integer,activity,,,True,internally generated,Single,False,,Unique identifier for the CRR visit.,,
location,Module,activity,,,False,,Single,True,mod_civic_location,Location address.,See mod_civic_location,
date,Datetime (UTC),activity,,,False,,Single,False,,Date of home visit.,2024-08-01 00:00:00,
units,Array[Text],activity,,,False,,Multi,True,entity.units_table,Unit(s) or companies presernt during the home visit.,A408,
time_arrival,Datetime (UTC),activity,,,False,,Single,False,,Time of arrival at civic location.,08:30:00,
time_departure,Datetime (UTC),activity,,,False,,Single,False,,Time of departure from civic location.,10:30:00,
not_engaged,Boolean,activity,,,False,,Single,False,,Whether the person could not or would not be engaged.,True,
reason_not_engaged,Text,activity,refused_services = TRUE,,False,,Multi,True,type_reason_not_engaged,Reason the person could not or would not engage.,Language barrier,
location_use,Array[Text],activity,,,False,,Single,True,type_location_use,Location type where visited.,See type_location_use,
num_alarms,Integer,activity,,,False,,Single,False,,The number of smoke alarms distributed at the location.,2,
activity_type,Array[Text],activity,,,False,,Multi,True,type_crr_activities,Specific activity or event completed.,See type_crr_activities,
activity_campaign,Array[Text],activity,,,False,,Multi,True,type_crr_activities,Campaign to which the activity is attributed.,See type_crr_activities,
risk_reduction_alarms,Module,risk_reduction,,,False,,Single,True,mod_risk_reduction,Risk reduction submodule focused on smoke alarm presence and operability.,See mod_risk_reduction,
activity_category,Array[Text],risk_reduction,,,False,,Multi,True,type_crr_activities,Category of activity or event.,See type_crr_activities,
health_problems,Array[Text],community health,type_crr_activities value_1 = Community Health,,False,,Multi,True,type_health_problems,Type of health problems encountered.,See type_health_problems,
participation_capability,Boolean,community health,type_crr_activities value_1 = Community Health,,False,,Single,False,,Whether the person is capable of participating  in their own care.,False,
alcohol_tobacco_drug_use,Array[Text],community health,type_crr_activities value_1 = Community Health,,False,,Multi,True,type_alcohol_tobacco_drugs,"Whether the person is an alcohol, drug or tobacco user.",False,
referral,Boolean,services,,,False,,Single,False,,Whether the visit was in response to a referral.,True,
referral_type,Array[Text],services,referral = TRUE,,False,,Single,True,type_referral,Type of referral.,See type_referral,
num_residents_18_older,Integer,services,,,False,,Single,False,,Number of residents or occupants 18 years of age or older.,2,
num_residents_under_18,Integer,services,,,False,,Single,False,,Number of residents or occupants under the age of 18.,2,
num_residents_65_older,Integer,services,,,False,,Single,False,,Number of residents aged 65 or older.,False,
num_residents_disabilities,Integer,services,,,False,,Single,False,,"Number of residents with disabilities, physical or intellectual.",True,
possible_hoarding,Boolean,services,,,False,,Single,False,,Whether hoarding conditions were apparent during the home visit.,False,
follow_up_needed,Boolean,services,,,False,,Single,False,,Whether a follow up is needed.,True,
services_referred,Boolean,services,,,False,,Single,False,,Whether social or other services will be referred following visit.,True,
type_services_referred,Array[Text],services,,,False,,Multi,True,type_services_referred,"Type of social services, if any, were referred following the home visit.",See type_services_referred,
notes,Text,,,,False,,Single,False,,Additional notes regarding the home visit.,,Free Text
