name,type,group,possible_if,db_required,computed,computed_from,cardinality,value_set,value_set_location,description,example,comments
inspection_id,Integer,parcel,,,True,Internally-generated,Single,False,,NERIS-generated unique identifier for inspection.,,
inspection_date,Datetime(UTC),parcel,,,False,,Single,False,,Date of parcel inspection.,2025-01-18 00:00:00,
parcel_id,Integer,parcel,,,True,Internally-generated,Single,False,,NERIS-generated unique identifier for the parcel.,,
authority_parcel_id,Integer,parcel,,,False,,Single,False,,Unique identifier for the parcel as denoted by the assessor or maintaining authority.,,
location,Module,parcel,,,False,,Single,True,mod_civic_location,Address of the parcel (see civic location),See mod_civic_location,
location_use,Array[Text],parcel,,,False,,Multi,True,type_location_use,Location use of primary structure.,See type_location_use,
zoning,Text,parcel,,,False,,Single,True,type_zoning,Code for the zoning type or district attributed to the parcel.,see type_zoning,
flood_plane,Boolean,parcel,,,False,,Single,False,,Whether the parcel exists within a flood plane.,,
lot_size,Integer,structure,,,False,,Single,False,,Total lot area of the parcel.,4,
lot_units,Text,structure,,,False,,Single,True,type_lot_units,Unit of measurement for lot_size ,"square feet, acres",
unit_count,Integer,structure,,,False,,Single,False,,"Number of units on the parcel, including dwelling units, commercial units, and storage units.",1,
structure_inspection,Boolean,structure,,,False,,Single,True,mod_structure_inspection,Detailed information on structure inspection.,See mod_structure_inspection,
commerical_inspection,Boolean,structure,structure_inspection =TRUE & location use = commercial,,False,,Single,True,mod_commerical_inspection,Detailed information on commericial structure.,See mod_commercial_inspection,
outdoor_inspection,Boolean,structure,,,False,,Single,True,mod_outdoor_inspection,Detailed information on outdoor spacing and fuel.,See mod_outdoor_inspection,
building_value,Computed,structure,,,True,augmentation mod_parcel,Single,False,,Total assessed value of the primary building or structure on the parcel in USD,450000,
land_value,Computed,structure,,,True,augmentation mod_parcel,Single,False,,"Total assessed value of the land of a property, not including buildings or other structural improvements.",300000,
other_value,Computed,structure,,,True,augmentation mod_parcel,Single,False,,Total assessed value of structures or improvements that are not otherwise included in the building value.,100000,
total_value,Computed,structure,,,True,building_value + land_value + other_value,Single,False,,Computed.,850000,
last_sale_date,Datetime(UTC),structure,,,False,,Single,False,,Date of last-known sale.,2023-10-22 00:00:00,
last_sale_price,Integer,structure,,,False,,Single,False,,Sale price at last-known date of sale.,390000,
map_number,Integer,assessment,,,False,,Single,False,,Map or sheet number of the assessor's original map.,147,
map_parcel_id,Integer,assessment,,,False,,Single,False,,Unique identifier appearing on the assessor's original map.,Varies,
edit_date,Datetime(UTC),assessment,,,False,,Single,False,,Date of edit to parcel information.,2024-01-12 00:00:00,
notes,Text,,,,False,,Single,False,,,,Free text.
