name,type,group,possible_if,computed,computed_from,cardinality,value_set,value_set_location,description,example,comments
first_name,Text,personal,,False,,Single,False,,First name of person.,John,
last_name,Text,personal,,False,,Single,False,,Last name of person.,Smoth,
last_4_ssn,Integer,personal,,False,,Single,False,,Last 4 of social security number.,1234,
nfr_number,Integer,personal,,False,,Single,False,,National Firefighter Registry Participant Number,,
dob,Datetime (UTC) ,personal,,False,,Single,False,,Date of birth.,1977-12-01 00:00:00,
race,Array[Text],personal,,False,,Multi,True,type_race,Race of person.,White,
gender,Array[Text],lifestyle,,False,,Single,True,type_gender,Gender of person.,Male,
neris_entity_id,Array[Text],service,,False,,Multi,True,,NERIS Entity ID for the entities(s) in which the person belongs.,,
entity_location,Module,service,,True,entity_spec,Single,True,mod_civic_location,"Civic location, typically an address, of the NERIS entity.",See mod_civic_location,
service_entry_date,Datetime (UTC) ,service,,False,,Single,False,,Date of entry into service.,1997-06-01 00:00:00,
entity_start_date,Datetime (UTC) ,service,,False,,Single,False,,Start date on which the person began with the department.,2005-04-10 00:00:00,
station_assignment,Datetime (UTC) ,service,,False,,Single,True,entity_spec,Station assignment within department,601,
shift_schedule,Array[Text],service,,False,,Multi,True,type_shift,Type of shift schedule.,See type_shift,
service_type,Array[Text],service,,False,,Multi,True,type_service_type,Type of service of the person.,Volunteer,
