name,type,group,possible_if,db_required,computed,computed_from,cardinality,value_set,value_set_location,description,example,comments
inspection_id,Integer,inspection,,,1.0,internally-generated,Single,0.0,,Inspection ID for NERIS Report,,
entity_inspection_id,Text,inspection,,,0.0,,Single,0.0,,"Internal Inspection ID, if different from NERIS Inspection ID",Varies,
location,Module,parcel,,,0.0,,Single,1.0,mod_civic_location,Address of the parcel (see civic location),See mod_civic_location,
location_use,Array[Text],parcel,,,0.0,,Multi,1.0,type_location_use,Location use of primary structure.,See type_location_use,
date,Datetime (UTC),inspection,,,0.0,,Single,0.0,,Date of inspection.,2024-08-01 00:00:00,
reinspection,Boolean,inspection,,,0.0,,Single,0.0,,Whether the inspection is a follow-up or reinspection.,False,
previous_inspection_id,Integer,inspection,reinspection = TRUE,,0.0,,Single,0.0,,"Inspection ID of previous inspection, if applicable.",Varies,
building_codes_reqd,Text,inspection,,,0.0,,Multi,0.0,,Building codes required by the structure type.,Varies,
building_codes_violated,Text,inspection,,,0.0,,Multi,0.0,,Building codes violated.,Varies,
permit_id,Text,inspection,,,0.0,,Multi,0.0,,"Permit number, if inspection is related to permitting.",Varies,
structure_unit,Boolean,structure,,,0.0,,Single,0.0,,Whether the inspection is being completed on a unit within a structure.,,
unit_number,Text,structure,structure_unit = TRUE,,0.0,,Single,0.0,,Unit number or identifier within structure.,,
structure_square_feet,Integer,structure,,,0.0,,Single,0.0,,Square footage of structure.,2000,
unit_square_feet,Integer,structure,structure_unit = TRUE,,,,,,,Square footage of unit.,,
occupancy_load,Integer,structure,,,0.0,,Single,0.0,,Occupancy load of structure.,24,
fire_doors_operable,Boolean,risk_reduction,,,0.0,,Single,0.0,,Whether fire doors are operating as intended.,,
risk_reduction_alarms,Module,structure,,,0.0,,Single,1.0,mod_risk_reduction,Fire protection and risk reduction factors present.,See mod_risk_reduction,
notes,Text,,,,0.0,,Single,0.0,,Additional notes regarding the inspection.,,Free text
