name,active,value_1,value_2,description_1,description_2,definition,source,NFIRS Crosswalk
AGRICULTURE_STRUCT: STORAGE_SILO,TRUE,AGRICULTURE_STRUCT,STORAGE_SILO,Agriculture Structure,Storage / Silo,,,816
AGRICULTURE_STRUCT: FARM_BUILDING,TRUE,AGRICULTURE_STRUCT,FARM_BUILDING,Agriculture Structure,Farm (Building),,,
AGRICULTURE_STRUCT: ANIMAL_PROCESSING,TRUE,AGRICULTURE_STRUCT,ANIMAL_PROCESSING,Agriculture Structure,Animal Processing,,,659
AGRICULTURE_STRUCT: VETERINARY_LIVESTOCK,TRUE,AGRICULTURE_STRUCT,VETERINARY_LIVESTOCK,Agriculture Structure,Veterinary (Livestock),,,819
ASSEMBLY: COMMUNITY_CENTER,TRUE,ASSEMBLY,COMMUNITY_CENTER,Assembly,Community Center,,,116
ASSEMBLY: CONVENTION_CENTER,TRUE,ASSEMBLY,CONVENTION_CENTER,Assembly,Convention Center,,,122
ASSEMBLY: INDOOR_ARENA,TRUE,ASSEMBLY,INDOOR_ARENA,Assembly,Indoor Arena,,,"123, 182"
ASSEMBLY: RELIGIOUS,TRUE,ASSEMBLY,RELIGIOUS,Assembly,Religious,,,"130, 131, 134"
ASSEMBLY: MUSEUM_EXHIBIT_HALL_LIBRARY,TRUE,ASSEMBLY,MUSEUM_EXHIBIT_HALL_LIBRARY,Assembly,Museum / Exhibit Hall / Library,,,"152, 151"
COMMERCIAL: ENTERTAINMENT_RECREATION,TRUE,COMMERCIAL,ENTERTAINMENT_RECREATION,Commercial,Entertainment and Recreation,,,"111, 112, 113, 114, 115, 116, 120, 121, 129, 140, 141, 142, 144"
COMMERCIAL: RESTAURANT_CAFE,TRUE,COMMERCIAL,RESTAURANT_CAFE,Commercial,Restaurant / Cafe,,,"519, 142, 160, 161"
COMMERCIAL: BAR_NIGHTCLUB,TRUE,COMMERCIAL,BAR_NIGHTCLUB,Commercial,Bar / Nightclub,,,162
COMMERCIAL: OFFICE_OTHER_TECHNICAL_SERVICES,TRUE,COMMERCIAL,OFFICE_OTHER_TECHNICAL_SERVICES,Commercial,Office / Other Technical Services,,,"599, 596, 593, 635, 639,"
COMMERCIAL: RETAIL_WHOLESALE_TRADE,TRUE,COMMERCIAL,RETAIL_WHOLESALE_TRADE,Commercial,Retail / Wholesale / Trade,,,"500, 511, 519, 529, 539, 549, 557, 559, 564, 569, 580, 581, 592"
COMMERCIAL: THEATERS_STUDIO,TRUE,COMMERCIAL,THEATERS_STUDIO,Commercial,Theaters/Studio,,,"180, 181, 182, 183, 185, 186"
COMMERCIAL: VEHICLE_REPAIR_SERVICES,TRUE,COMMERCIAL,VEHICLE_REPAIR_SERVICES,Commercial,Vehicle Repair Services,,,"579, 579"
COMMERCIAL: VEHICLE_FUELING_CHARGING_STATION,TRUE,COMMERCIAL,VEHICLE_FUELING_CHARGING_STATION,Commercial,Vehicle Fueling / Charging Station,,,571
COMMERCIAL: VETERINARY_PET ,TRUE,COMMERCIAL,VETERINARY_PET ,Commercial,Veterinary (Pet),,,300
EDUCATION: COLLEGES_UNIVERSITIES,TRUE,EDUCATION,COLLEGES_UNIVERSITIES,Education,Colleges/Universities,,,241
EDUCATION: OTHER_EDUCATIONAL_BUILDINGS,TRUE,EDUCATION,OTHER_EDUCATIONAL_BUILDINGS,Education,Other Educational Buildings,,,"200, 210"
EDUCATION: PREK_DAYCARE,TRUE,EDUCATION,PREK_DAYCARE,Education,Pre-K / Day Care,,,"211, 250, 254, 255, 256"
EDUCATION: K_12_SCHOOLS,TRUE,EDUCATION,K_12_SCHOOLS,Education,K - 12 Schools,,,"213, 215"
EDUCATION: DORMITORY_HOUSING,TRUE,EDUCATION,DORMITORY_HOUSING,Education,Dormitory Housing,,,464
GOVERNMENT: POLICE_EMERGENCY_STATION,TRUE,GOVERNMENT,POLICE_EMERGENCY_STATION,Government,Police Station / Emergency Response,,,365
GOVERNMENT: FIRE_MEDICAL_STATION,TRUE,GOVERNMENT,FIRE_MEDICAL_STATION,Government,Fire Station / Medical Response Station,,,888
GOVERNMENT: JAIL_PRISON_REFORMATORY,TRUE,GOVERNMENT,JAIL_PRISON_REFORMATORY,Government,Jail / Prison / Reformatory / Incarceration ,,,"361, 363"
GOVERNMENT: GENERAL_SERVICES,TRUE,GOVERNMENT,GENERAL_SERVICES,Government,General Services,,,"150, 155"
GOVERNMENT: NON_CIVILIAN_STRUCTURES,TRUE,GOVERNMENT,NON_CIVILIAN_STRUCTURES,Government,"Non-Civilian Structures (Defense, Military)",,,631
INDUSTRIAL: CHEMICAL,TRUE,INDUSTRIAL,CHEMICAL,Industrial,Chemical,,,
INDUSTRIAL: FOOD_DRUGS,TRUE,INDUSTRIAL,FOOD_DRUGS,Industrial,Food / Drugs,,,
INDUSTRIAL: HEAVY,TRUE,INDUSTRIAL,HEAVY,Industrial,Heavy ,,,
INDUSTRIAL: LIGHT,TRUE,INDUSTRIAL,LIGHT,Industrial,Light,,,700
INDUSTRIAL: METALS_MINERALS_PROCESSING,TRUE,INDUSTRIAL,METALS_MINERALS_PROCESSING,Industrial,Metals/Minerals Processing,,,
HEALTH_CARE: MEDICAL_OFFICE_CLINIC,TRUE,HEALTH_CARE,MEDICAL_OFFICE_CLINIC,Health Care,Medical Office/Clinic,,,"340, 341, 342"
HEALTH_CARE: HOSPITAL_24_HOUR_MEDICAL_FACILITIES ,TRUE,HEALTH_CARE,HOSPITAL_24_HOUR_MEDICAL_FACILITIES ,Health Care,Hospital / 24-Hour Medical Facilities / Institutional,,,331
HEALTH_CARE: NURSING_HOME_ASSISTED_LIVING_RESIDENCE_ONSITE,TRUE,HEALTH_CARE,NURSING_HOME_ASSISTED_LIVING_RESIDENCE_ONSITE,Health Care,Nursing Home / Assisted Living / Residence with Onsite care and support,,,"311, 321, 323, "
RESIDENTIAL: CONGREGATE_HOUSING,TRUE,RESIDENTIAL,CONGREGATE_HOUSING,Residential,Congregate Housing,,,"322, 439, 459, 460, 462"
RESIDENTIAL: MANUFACTURED_MOBILE_HOME,TRUE,RESIDENTIAL,MANUFACTURED_MOBILE_HOME,Residential,Manufactured/Mobile Home,,,
RESIDENTIAL: DETATCHED_SINGLE_FAMILY_DWELLING,TRUE,RESIDENTIAL,DETATCHED_SINGLE_FAMILY_DWELLING,Residential,Detached Single Family Dwelling,,,419
RESIDENTIAL: ATTACHED_SINGLE_FAMILY_DWELLING,TRUE,RESIDENTIAL,ATTACHED_SINGLE_FAMILY_DWELLING,Residential,Attached Single Family Dwelling,,,
RESIDENTIAL: MULTI_FAMILY_LOWRISE_DWELLING,TRUE,RESIDENTIAL,MULTI_FAMILY_LOWRISE_DWELLING,Residential,Multi-Family Lowrise Dwelling (<=4 Stories),,,429
RESIDENTIAL: MULTI_FAMILY_MIDRISE_DWELLING,TRUE,RESIDENTIAL,MULTI_FAMILY_MIDRISE_DWELLING,Residential,Multi-Family Midrise Dwelling (5-8 Stories),,,429
RESIDENTIAL: MULTI_FAMILY_HIGHRISE_DWELLING,TRUE,RESIDENTIAL,MULTI_FAMILY_HIGHRISE_DWELLING,Residential,Multi-Family Highrise Dwelling (>= 9 Stories),,,429
RESIDENTIAL: DETATCHED_GARAGE,TRUE,RESIDENTIAL,DETATCHED_GARAGE,Residential,Detached Garage,,,808
RESIDENTIAL: UNHOUSED_TEMPORARY_SHELTER,TRUE,RESIDENTIAL,UNHOUSED_TEMPORARY_SHELTER,Residential,Unhoused/Temporary Shelter,,,
RESIDENTIAL: TEMPORARY_LODGING_HOTEL_MOTEL,TRUE,RESIDENTIAL,TEMPORARY_LODGING_HOTEL_MOTEL,Residential,Temporary Lodging / Hotel / Motel,,,449
