value,active,description,definition,source
SEARCH_RESCUE,TRUE,Search / Rescue,,
CARRYING_SETTINGUP_EQUIPMENT,TRUE,Carrying Setting-Up Equipment,,
ADVANCING_OPERATING_HOSELINE,TRUE,Advancing / Operating Hoseline,,
VEHICLE_EXTRICATION,TRUE,Vehicle Extrication,,
VENTILATION,TRUE,Ventilation,,
FORCIBLE_ENTRY,TRUE,Forcible Entry,,
PUMP_OPERATIONS,TRUE,Pump Operations,,
EMS_PATIENT_CARE,TRUE,EMS / Patient Care,,
DURING_INCIDENT_RESPONSE,TRUE,During Incident Response,,
SCENE_SAFETY_DIRECTING_TRAFFIC,TRUE,Scene Safety / Directing Traffic,,
STANDBY,TRUE,Standby,,
INCIDENT_COMMAND,TRUE,Incident Command,,
OTHER,TRUE,Other,,
