active,value_1,value_2,value_3,description_1,description_2,description_3,definition_1,definition_2,definition_3,source
TRUE,CONSUMER_PRODUCTS,APPLIANCE_TOOL,,Appliances / Tools,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,CELL_PHONE,,Cell Phone,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,COMPUTER_TABLET,,Computer / Tablet,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,ELECTRONIC_CIGARETTE,,Electronic Cigarette,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,POWER_BANK,,Power Bank,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,TOY,,Toy,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,OTHER,,Other,Consumer Products,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,HYDROELECTRIC,,Pumped-Storage Hydroelectric,Energy Storage System,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,BATTERY,,Battery (Electro-Chemical),Energy Storage System,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,COMPRESSED_AIR,,Compressed-Air Storage,Energy Storage System,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,FLYWHEEL,,Flywheel,Energy Storage System,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,OTHER,,Other,Energy Storage System,,,,,
TRUE,E_MOBILITY,POWER_ASSISTED_BICYCLE,,Power Assisted Bicycle,E-Mobility,,,,,
TRUE,E_MOBILITY,ELECTRIC_SCOOTER_MOPED,,Electric Scooter/Moped,E-Mobility,,,,,
TRUE,E_MOBILITY,PERSONAL_MOBILITY_ASSIST,,Personal Mobility Assist,E-Mobility,,,,,
TRUE,E_MOBILITY,OTHER,,Other,E-Mobility,,,,,
TRUE,ELECTRIC_VEHICLE,CAR_RR,FULL_ELECTRIC,Road Registered Car,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,CAR_RR,PLUG_IN_HYBRID,Road Registered Car,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,CAR_RR,HYBRID,Road Registered Car,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,CAR_RR,FUEL_CELL,Road Registered Car,Electric Vehicle,Fuel Cell,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,FULL_ELECTRIC,Road Registered Passenger Truck,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,PLUG_IN_HYBRID,Road Registered Passenger Truck,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,HYBRID,Road Registered Passenger Truck,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,FUEL_CELL,Road Registered Passenger Truck,Electric Vehicle,Fuel Cell,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,FULL_ELECTRIC,Road Registered Commercial Truck,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,PLUG_IN_HYBRID,Road Registered Commercial Truck,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,HYBRID,Road Registered Commercial Truck,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,FUEL_CELL,Road Registered Commercial Truck,Electric Vehicle,Fuel Cell,,,,
TRUE,ELECTRIC_VEHICLE,BUS_RR,FULL_ELECTRIC,Road Registered Bus,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,BUS_RR,PLUG_IN_HYBRID,Road Registered Bus,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BUS_RR,HYBRID,Road Registered Bus,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BUS_RR,FUEL_CELL,Road Registered Bus,Electric Vehicle,Fuel Cell,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,FULL_ELECTRIC,Boat Recreational,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,PLUG_IN_HYBRID,Boat Recreational,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,HYBRID,Boat Recreational,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,Fuel_Cell,Boat Recreational,Electric Vehicle,Fuel Cell,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_COMMERCIAL,FULL_ELECTRIC,Boat Commercial,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_COMMERCIAL,PLUG_IN_HYBRID,Boat Commercial,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_COMMERCIAL,HYBRID,Boat Commercial,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_COMMERCIAL,FUEL_CELL,Boat Commercial,Electric Vehicle,Fuel Cell,,,,
