name,group,type,value_set,reference_location,possible_if,db_required,neris_core,neris_core_if,neris_core_aid,computed,computed_from,cardinality,map_orm_landing,map_app,description,example,comments
parcel_value_assessed_land,parcel,Integer,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,"Assessed Land Value (before exemptions, if any) as provided by the county or local taxing/assessment authority.",,Dollar amount.
parcel_value_assessed_imprv,parcel,Integer,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,"Assessed Improvement Values (before exemptions, if any) as provided by the county or local taxing/assessment authority.",,Dollar amount.
parcel_use_code,parcel,Text,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,Local/Municipal Use Code of a property.,,
parcel_year_built,parcel,Integer,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,Year the primary structure on the property was built.,1960,
parcel_building_number,parcel,Integer,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,Total number of buildings or structures on a single parcel as reported on the assessment roll.,1,
parcel_building_sqft,parcel,Integer,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,Building area of the primary structure on the property. If there are multiple residential units this is primarily the area of the largest residential structure.,1850,
parcel_stories,parcel,Integer,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,Number of stories of the main structure on the property.,2,
parcel_basement_desc,parcel,Text,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,Type of basement found in the building.,1,
parcel_unit_count,parcel,Integer,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,Number of units on the property.,4,
parcel_land_sqft,parcel,Float,FALSE,,use_type indicates inside structure,FALSE,FALSE,,FALSE,TRUE,external parcel data,Single,,,"Size of the property in square feet, derived from the assessment record when possible, otherwise calculated from associated parcel geometry.",6200.5,
