name,group,type,value_set,reference_location,possible_if,db_required,neris_core,neris_core_if,neris_core_aid,computed,computed_from,cardinality,map_orm_landing,map_app,description,example,comments,api_class
nonff_rescue_birth_month_year,general,Date,FALSE,,,TRUE,TRUE,,,FALSE,,Single,,,The date of birth of the person(s) injured or rescued., 06/1972, ,
nonff_rescue_gender,general,Text,TRUE,type_gender.value,,FALSE,TRUE,,,FALSE,,Single,,,The gender of the person(s) injured or rescued.,See type_gender table,,
nonff_rescue_race,general,Text,TRUE,type_race.value,,FALSE,TRUE,,,FALSE,,Single,,,The race of the person(s) injured or rescued.,See type_race table,,
nonff_rescue_type,rescue,Text,TRUE,type_rescue.value,,FALSE,TRUE,,,FALSE,,Single,,,"Whether there was a rescue, non-rescue, assist, or self evacuation",See type_rescue table,,
nonff_rescue_presence_known,rescue,Text,TRUE,type_rescue_presence_known.value,"rescue_type = Firefighter Rescued, Firefighter-Assisted Evacuation",FALSE,TRUE,,,FALSE,,Single,,,Whether the presence of an occupant in need of rescue was known,See type_rescue_presence_known table,,
nonff_rescue_primary_mode,rescue,Text,TRUE,type_rescue_mode.value,"rescue_type = Firefighter Rescued, Firefighter-Assisted Evacuation",FALSE,TRUE,,,FALSE,,Single,,,The primary mode for rescue,See type_rescue_mode table,,
nonff_rescue_actions,rescue,Array[Text],TRUE,type_rescue_actions.value,"rescue_type = Firefighter Rescued, Firefighter-Assisted Evacuation",FALSE,TRUE,,,FALSE,,Multi,,,Actions taken to support the rescue,See type_rescue_actions table,,
nonff_rescue_impedance_type,rescue,Array[Text],TRUE,type_rescue_impedence.value,"rescue_type = Firefighter Rescued, Firefighter-Assisted Evacuation",FALSE,TRUE,,,FALSE,,Multi,,,Whether conditions impacted the ability of rescue,See type_rescue_impedence table,,
nonff_rescue_room_type,rescue.structure,Text,TRUE,type_room.value,primary_mode= Removal From Structure,FALSE,TRUE,,,FALSE,,Single,,,The type of room/space from which the occupant was rescued,See type_room table,,
nonff_rescue_elevation_type,rescue.structure,Text,TRUE,type_rescue_elevation.value,primary_mode= Removal From Structure,FALSE,TRUE,,,FALSE,,Single,,,The elevation at which the occupant was found,See type_rescue_elevation table,,
nonff_rescue_gas_isolation,rescue.structure,Boolean,FALSE,,primary_mode= Removal From Structure,FALSE,TRUE,,,FALSE,,Single,,,Whether the space was isolated from the flow of heat and/or toxic gases,"""True""",,
nonff_rescue_removal_path_type,rescue.structure,Text,TRUE,type_rescue_path.value,primary_mode= Removal From Structure,FALSE,TRUE,,,FALSE,,Single,,,Route along which removal from the structure occurred,See type_rescue_path table,,
nonff_rescue_fire_relative_time,rescue.structure,Text,TRUE,type_suppress_time.value,primary_mode= Removal From Structure and incident_subtype = FIRE,FALSE,TRUE,,,FALSE,,Single,,,"Relative to suppression, when the occupant was removed from the structure",See type_suppress_time table,,
nonff_casualty_casualty_type,casualty,Text,TRUE,type_casualty.value,,FALSE,TRUE,,,FALSE,,Single,,,"Whether the person was uninjured, injured nonfatally, injured fatally",See type_casualty table,,
nonff_casualty_casualty_cause,casualty.injured,Text,TRUE,type_casualty_cause.value,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,,,The apparent cause of the injury or fatality,See type_casualty_cause table,,
