name,group,type,value_set,reference_location,possible_if,db_required,neris_core,neris_core_if,neris_core_aid,computed,computed_from,cardinality,map_orm_landing,map_app,description,example,comments
incident_number,incident,Text,FALSE,,,TRUE,TRUE,,TRUE,FALSE,,Single,incident_hist.nuid,,Unique numeric identifier for the event that requires dispatch of department resources.,FD06067001,Comes from Dispatch module where available
incident_final_type,type_identifiers,Array[Array[Text]],TRUE,"value_1, value2, value_3 from type_incident",,TRUE,TRUE,,TRUE,FALSE,,Multi,,,Disposition or final incident type as assessed on scene.,See type_inc table,
incident_special_modifier,type_identifiers,Array[Text],TRUE,type_special_modifier,,FALSE,FALSE,,TRUE,FALSE,,Multi,,,Incident modifier(s) that can help describe the magnitude or class of the incident.,See type_special_modifier table,
fire,fire,Module,FALSE,mod_fire,final incident type includes fire,FALSE,TRUE,final incident type includes fire,TRUE,FALSE,,Single,,,Specific fields for incident types that include fire type.,See mod_fire,
fire_timestamps,fire_timestamps,Module,FALSE,,final incident type includes fire,FALSE,TRUE,final incident type includes fire,TRUE,FALSE,,Single,,,Timestamps for fire tactic employed.,See shared/mod_fire_timestamps,Comes from Dispatch module where available
medical,medical,Module,FALSE,mod_medical,final incident type includes medical,FALSE,TRUE,final incident type includes medical,TRUE,FALSE,,Single,,,Specific fields for incident types that include medical.,See mod_medical,
hazsit,hazsit,Module,FALSE,mod_hazard,final incident type includes hazsit,FALSE,TRUE,final incident type includes hazsit,TRUE,FALSE,,Single,,,Specific fields for incident types that include hazsit.,See mod_hazsit,
emerging_hazard,emerging_hazard,Array[Module],TRUE,mod_emerging_hazards,one or more emerging hazard,FALSE,TRUE,eh was involved,TRUE,TRUE,eh tables,Multi,,,Information on emerging hazard(s). Consists of the fields of one or more group from mod_emerging_hazard.,Electrification,See mod_eh
incident_point,location,Point,FALSE,,,FALSE,TRUE,,TRUE,FALSE,,Single,geo_point via incident_hist.nuid_point_incident,,"WGS84 latitude and longitude of the incident. If a latitude and longitude are not submitted but a location is, the location geocoding result (if successful) will be used.","42.548054, -77.840575","Decreasing order of priority given to: submitted point, location geocode, submitted polygon centroid "
incident_polygon,location,Multipolygon,FALSE,,,FALSE,FALSE,,FALSE,FALSE,,Single,,,WGS84 polygon of the footprint of the incident.,,
incident_location,location,Module,FALSE,mod_location,,TRUE,TRUE,,TRUE,FALSE,,Single,,,"Location, generally an address, of the incident. Consists of the fields of mod_civic_location.",,See shared.mod_civic_location
incident_use,location,Module,FALSE,mod_location_use,,FALSE,TRUE,,TRUE,FALSE,,Single,,,How the location is being used. Consists of the fields of mod_location_use.,,See shared.mod_location_use
incident_indoors,location,Boolean,FALSE,,,FALSE,TRUE,,TRUE,FALSE,,Single,,,Whether the incident primarily took place indoors.,,
incident_people_present,location,Boolean,FALSE,,,FALSE,TRUE,,TRUE,FALSE,,Single,,,Whether people were present at the time of the incident.,"""True""",
incident_displaced_number,displacement,Integer,FALSE,,,TRUE,FALSE,,FALSE,TRUE,core_mod_incident.displaced_cause,Single,,,Number of people displaced.,2,
incident_displaced_cause,displacement,Array[Text],TRUE,type_displace_cause.value,,FALSE,TRUE,displaced_occupants = TRUE,TRUE,FALSE,,Multi,,,Cause for displacement.,See type_displace_cause table,
exposure,exposure,Array[Module],TRUE,mod_exposure,,FALSE,TRUE,,TRUE,FALSE,exposures > 0,Multi,,,Exposure details.,See mod_exposures,
rescue_ff,rescues,Array[Module],FALSE,mod_rescue_ff,,TRUE,TRUE,casualty_rescue_int_ff > 0,TRUE,FALSE,ff casualties / rescues >0,Multi,,,Firefighter rescue and/or casualty module. Consists of the fields of mod_rescue_ff.,,See mod_rescue_ff
rescue_nonff,rescues,Array[Module],FALSE,mod_rescue_nonff,,TRUE,TRUE,casualty_rescue_int_nonff > 0,TRUE,FALSE,nonff casualties / rescues > 0,Multi,,,Non firefighter rescue and/or casualty module. Consists of the fields of mod_rescue_civ.,,See mod_rescue_nonff
incident_rescue_animal,rescues,Integer,FALSE,,,FALSE,TRUE,,TRUE,FALSE,,Single,,,Total number of animals rescued.,1,
incident_actions_taken,actions_taken,Array[Text],TRUE,mod_actions_tactics,,FALSE,TRUE,at least one action was taken,TRUE,TRUE,actions and tactics tables,Multi,,,Actions taken by the fire department on the scene of the incident.,"Exterior Suppression, Interior Suppression, etc.",
unit_response,unit_response,Array[Module],TRUE,shared/mod_unit,,TRUE,TRUE,,TRUE,FALSE,,Multi,,,Shared module for unit response information.,,See shared.mod_unit_response
risk_reduction,risk_reduction,Module,FALSE,,,TRUE,TRUE,,TRUE,FALSE,,Single,,,"Location, generally an address, of the incident. Consists of the fields of mod_civic_location.",,See shared.mod_civic_location
incident_aid_given_name,aid,Text,TRUE,dept.name,,FALSE,TRUE,aid was given,TRUE,FALSE,,Single,,,Name of the Fire Department to which aid was given.,"DCFD, PGFD, etc.",Comes from FD Specifications - Mutual Aid Agencies (for Selection Purposes)
incident_aid_received_name,aid,Array[Text],TRUE,dept.name,,FALSE,TRUE,aid was received,TRUE,FALSE,,Multi,,,Name(s) of the Fire Department(s) from which aid was received.,"DCFD, PGFD, etc.",Comes from FD Specifications - Mutual Aid Agencies (for Selection Purposes)
incident_narrative_impedance,narrative,Text,FALSE,,,FALSE,TRUE,,TRUE,FALSE,,Single,,,Description of any obstacles that impacted the incident.,,
incident_narrative_outcome,narrative,Text,FALSE,,,FALSE,TRUE,,TRUE,FALSE,,Single,,,Description of the final disposition of the incident.,,
parcel,augmentation,Module,FALSE,,incident_point is within a parcel,FALSE,FALSE,,FALSE,FALSE,parcel service,Single,,,Characteristics of the parcel at which the incident occurred. Consists of the fields of mod_parcel.,,See augmentation.mod_parcel
weather,augmentation,Module,FALSE,,,FALSE,FALSE,,FALSE,FALSE,weather service,Single,,,Characteristics of the weather at the location and time of the incident. Consists of the fields of mod_weather.,,See augmentation.mod_weather
