name,group,type,value_set,reference_location,possible_if,db_required,neris_core,neris_core_if,neris_core_aid,computed,computed_from,cardinality,map_orm_landing,map_app,description,example,comments
ff_rescue_birth_month_year,general,Text,FALSE,,,FALSE,TRUE,,,FALSE,,Single,casualty_rescue.birth_month_year,,Date of birth of the person(s) injured or rescued.,06/1972,MM/YYYY format required
ff_rescue_gender,general,Text,TRUE,type_gender.value,,FALSE,TRUE,,,FALSE,,Single,casualty_rescue.type_gender,,Gender of the person(s) injured or rescued.,See type_gender table,
ff_rescue_race,general,Text,TRUE,type_race.value,,FALSE,TRUE,,,FALSE,,Single,casualty_rescue.type_race,,Race of the person(s) injured or rescued.,See type_race table,
ff_rescue_type,rescue,Text,TRUE,type_rescue.value,,TRUE,TRUE,,,FALSE,,Single,rescue.type_rescue,,"Whether there was a rescue, non-rescue, assist, or self evacuation.",See type_rescue table,
ff_rescue_primary_mode,rescue,Text,TRUE,type_rescue_mode.value,"rescue_type = Firefighter Rescued, Firefighter-Assisted Evacuation",FALSE,TRUE,,,FALSE,,Single,rescue_sub_ffrescue.type_rescue_mode,,Primary mode for rescue.,See type_rescue_nonfire_mode table,
ff_rescue_actions,rescue,Array[Text],TRUE,type_rescue_action.value,"rescue_type = Firefighter Rescued, Firefighter-Assisted Evacuation",FALSE,TRUE,,,FALSE,,Multi,rel_rescue_sub_ffrescue_actions.type_rescue_action,,Actions taken to support the rescue.,See type_rescue_action table,
ff_rescue_impedance_type,rescue,Array[Text],TRUE,type_rescue_impedence.value,"rescue_type = Firefighter Rescued, Firefighter-Assisted Evacuation",FALSE,TRUE,,,FALSE,,Multi,rel_rescue_sub_ffrescue_impedence.type_rescue_impedence,,Whether conditions impacted the ability of rescue.,See type_rescue_impedence table,
ff_rescue_mayday,rescue.ff,Boolean,FALSE,,,TRUE,TRUE,,,FALSE,,Single,join to rescue_mayday,,Whether there was a mayday called to indicate a firefighter needed assistance during the incident.,"""True""",
ff_rescue_mayday_relative_time,rescue.ff,Text,TRUE,type_suppress_time.value,,FALSE,TRUE,,,FALSE,,Single,rescue_mayday.type_suppr_time,,"Relative to suppression, when the mayday was called.",See type_suppress_time table,
ff_rescue_room_type,rescue.structure,Text,TRUE,type_room.value,primary_mode= Removal From Structure,FALSE,TRUE,,,FALSE,,Single,rescue_sub_ffrescue_sub_removal.type_room,,Type of room/space from which the occupant was rescued.,See type_room table,
ff_rescue_elevation_type,rescue.structure,Text,TRUE,type_rescue_elevation.value,primary_mode= Removal From Structure,FALSE,TRUE,,,FALSE,,Single,rescue_sub_ffrescue_sub_removal.type_elevation,,Elevation at which the occupant was found.,See type_rescue_elevation table,
ff_rescue_gas_isolation,rescue.structure,Boolean,FALSE,,primary_mode= Removal From Structure,FALSE,TRUE,,,FALSE,,Single,rescue_sub_ffrescue_sub_removal.gas_isolation,,Whether the space was isolated from the flow of heat and/or toxic gases.,"""True""",
ff_rescue_removal_path_type,rescue.structure,Text,TRUE,type_rescue_path.value,primary_mode= Removal From Structure,FALSE,TRUE,,,FALSE,,Single,rescue_sub_ffrescue_sub_removal.type_rescue_path,,How the firefighter was removed from the structure.,See type_rescue_path table,
ff_rescue_fire_relative_time,rescue.structure,Text,TRUE,type_suppress_time.value,primary_mode= Removal From Structure and incident_subtype = FIRE,FALSE,TRUE,,,FALSE,,Single,rescue_sub_ffrescue_sub_removal_fire.type_suppr_time,,"Relative to suppression, when the firefighter was removed from the structure.",See type_suppress_time table,
ff_casualty_type,casualty,Text,TRUE,type_casualty.value,,FALSE,TRUE,,,FALSE,,Single,casualty.type_casualty,,"Whether the person was uninjured, injured nonfatally, injured fatally.",See type_casualty table,
ff_casualty_rank,casualty.demographic,Text,FALSE,,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,casualty_sub_injury_ff.rank,,Rank of firefighter.,Captain,
ff_casualty_service,casualty.demographic,Float,FALSE,,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,casualty_sub_injury_ff.service,,Years of service.,2,
ff_casualty_classification,casualty.demographic,Text,TRUE,type_job_classification.value,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,casualty_sub_injury_ff.type_job_classification,,Job classification of firefighter.,See type_job_classification table,
ff_casualty_linked_unit_id,casualty.injured.deployment,Text,TRUE,unit.neris_id,UnitHist.cad_designation,TRUE,,TRUE,TRUE,TRUE,UnitHist.cad_designation_1,Single,casualty_sub_injury_ff.neris_id_unit,,Name of the unit responding to the incident in FD Spec.,"A702, PA711, E731",Unit maps to Core Department Spec
ff_casualty_unit_cont,casualty.injured.deployment,Boolean,FALSE,,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,casualty_sub_injury_ff.unit_cont,,Continuity of company at the time of incident.,"""True""",Whether the firefighter was operating in a new crew or crew had temporary firefighters or officer
ff_casualty_duty_type,casualty.injured.deployment,Text,TRUE,type_duty.value,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,casualty_sub_injury_ff.type_duty,,Duty state of the firefighter at the time of the incident.,See type_duty table,
ff_casualty_cause,casualty.injured.deployment,Text,TRUE,type_casualty_cause.value,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,casualty_sub_injury.type_casualty_cause,,Apparent cause of the injury or fatality.,See type_casualty_cause table,Jump
ff_casualty_action,casualty.injured.deployment,Text,TRUE,type_casualty_actions.value,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,casualty_sub_injury_ff.type_casualty_action,,Actions that occurred during the time of the incident.,See type_casualty_action table,
ff_casualty_ppe,casualty.injured.deployment,Array[Text],TRUE,type_casualty_ppe.value,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,FALSE,,,FALSE,,Multi,rel_casualty_sub_injury_ff_ppe.type_ppe,,PPE worn during time of incident.,See type_casualty_ppe table,
ff_casualty_incident_command,casualty.injured.deployment,Boolean,FALSE,,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,casualty_sub_injury_ff.incident_command,,Whether an incident command structure was in place during incident.,"""True""",
ff_casualty_incident_timeline,casualty.injured.deployment,Text,TRUE,type_casualty_timeline.value,"casualty_type in ('injured nonfatally', 'injured fatally')",FALSE,TRUE,,,FALSE,,Single,casualty_sub_injury_ff.incident_timeline,,Stage of the incident when the injury occurred.,See type_casualty_timeline table,
