,active,value,description,definition,source
0,True,HOARDING_DISORDER,Hoarding Disorder,,
1,True,INTELLECTUAL_DISABILITY,Intellectual Disability,,
2,True,PHYSICAL_DISABILITY,Physical Disability,,
3,True,ILLICIT_DRUG_USE,Illicit Drug Use,,
4,True,ALCOHOL_USE,Alcohol Use,,
5,True,ASLEEP,Asleep,,
6,True,JUVENILE_BEHAVIOR,Juvenile Behavior,"Note: Explicitly refers to minors under 18, not adults who are behaving in a juvenile manner.",
7,True,ELDERLY_AGING,Elderly or factors of aging,,
8,True,HOMELESSNESS,Homelessness,,
9,True,MEDICAL_CONDITION,Medical Condition,,
10,True,MENTAL_HEALTH,Mental Health,,
11,True,CULTURAL_RELIGIOUS_BEHAVIOR,Cultural or Religious Behavior,,
12,True,MEDICAL_OXYGEN,Medical Oxygen Use,,
13,True,NONE,,,
14,True,OTHER,Other,,
