,active,value_1,value_2,value_3,value_4,description_1,description_2,description_3,definition_1,definition_2,source_1,source_2
0,TRUE,ALARMS: ALARM_DISTRIBUTION: SOUND_OFF,ALARMS,ALARM_DISTRIBUTION,SOUND_OFF,Alarms,Alarm Distribution,Sound Off,,,,
1,TRUE,ALARMS: ALARM_DISTRIBUTION: SOUND_THE_ALARM,ALARMS,ALARM_DISTRIBUTION,SOUND_THE_ALARM,Alarms,Alarm Distribution,Sound the Alarm,,,,
2,TRUE,ALARMS: ALARM_DISTRIBUTION: FP&S_GRANT_PROGRAMS,ALARMS,ALARM_DISTRIBUTION,FP&S_GRANT_PROGRAMS,Alarms,Alarm Distribution,FP&S Grant Programs,,,,
3,TRUE,ALARMS: ALARM_DISTRIBUTION: AMERICAN_RED_CROSS,ALARMS,ALARM_DISTRIBUTION,AMERICAN_RED_CROSS,Alarms,Alarm Distribution,American Red Cross,,,,
4,TRUE,ALARMS: ALARM_DISTRIBUTION: OTHER,ALARMS,ALARM_DISTRIBUTION,OTHER,Alarms,Alarm Distribution,Other,,,,
5,TRUE,ALARMS: CARBON_MONOXIDE_ALARM_INSTALLATION: ,ALARMS,CARBON_MONOXIDE_ALARM_INSTALLATION,,Alarms,Carbon Monoxide Alarm Installation,,,,,
6,TRUE,ALARMS: HARD_OF_HEARING_ALARM_INSTALLATION: ,ALARMS,HARD_OF_HEARING_ALARM_INSTALLATION,,Alarms,Hard of Hearing Alarm Installation,,,,,
7,TRUE,ALARMS: IONIZATION_ALARM_INSTALLATION: ,ALARMS,IONIZATION_ALARM_INSTALLATION,,Alarms,Ionization Alarm Installation,,,,,
8,TRUE,ALARMS: PHOTOELECTRIC_ALARM_INSTALLATION: ,ALARMS,PHOTOELECTRIC_ALARM_INSTALLATION,,Alarms,Photoelectric Alarm Installation,,,,,
9,TRUE,ALARMS: COMBINATION_CARBON_MONOXIDE_AND_SMOKE_ALARM_INSTALLATION: ,ALARMS,COMBINATION_CARBON_MONOXIDE_AND_SMOKE_ALARM_INSTALLATION,,Alarms,Combination Carbon Monoxide and Amoke Alarm Installation,,,,,
10,TRUE,ALARMS: HOME_FIRE_SPRINKLER_DEMONSTRATION: ,ALARMS,HOME_FIRE_SPRINKLER_DEMONSTRATION,,Alarms,Home Fire Sprinkler Demonstration,,,,,
11,TRUE,CAMPAIGN: FIRE_SAFETY_EDUCATION: CLOSE_BEFORE_YOU_DOZE,CAMPAIGN,FIRE_SAFETY_EDUCATION,CLOSE_BEFORE_YOU_DOZE,Campaign,Fire Safety Education,Close Before You Doze,,,,
12,TRUE,CAMPAIGN: BUILDING_EVACUATION_EDUCATION: READY_SET_GO,CAMPAIGN,BUILDING_EVACUATION_EDUCATION,READY_SET_GO,Campaign,Building Evacuation Education,Ready Set Go!,,,,
13,TRUE,CAMPAIGN: BUILDING_EVACUATION_EDUCATION: KNOW_YOUR_ZONE,CAMPAIGN,BUILDING_EVACUATION_EDUCATION,KNOW_YOUR_ZONE,Campaign,Building Evacuation Education,Know Your Zone,,,,
14,TRUE,CAMPAIGN: FIRE_PREVENTION_WEEK_ACTIVITY: ,CAMPAIGN,FIRE_PREVENTION_WEEK_ACTIVITY,,Campaign,Fire Prevention Week Activity,,,,,
15,TRUE,CAMPAIGN: BATTERY_FIRE_SAFETY: ,CAMPAIGN,BATTERY_FIRE_SAFETY,,Campaign,Battery Fire Safety,Take C.H.A.R.G.E.,,,,
16,TRUE,CAMPAIGN: MEDICAL_PREPAREDNESS: ,CAMPAIGN,MEDICAL_PREPAREDNESS,,Campaign,Medical Preparedness,File of Life - Medical Emergency Plans,,,,
