,active,value,description,definition,source
0,True,EAR,Ear,,
1,True,EYE,Eye,,
2,True,NOSE,Nose,,
3,True,MOUTH,Mouth,,
4,True,HEAD_OTHER,"Head, other",,
5,True,NECK_SHOULDERS,Neck or shoulders,,
6,True,BACK_SPINE,"Back, spine",,
7,True,BACK_OTHER,"Back, other",,
8,True,CHEST,Chest,,
9,True,ABDOMEN,Abdomen,,
10,True,PELVIS_GROIN,Pelvis or groin,,
11,True,HIP_LOWER_BACK_BUTTOCKS,"Hip, lower back, or buttocks",,
12,True,ARM,Arm,,
13,True,LEG,Leg,,
14,True,HANDS_FINGERS,Hands or fingers,,
15,True,FOOT_TOES,Foot or toes,,
16,True,LUNGS,Lungs,,
17,True,HEART,Heart,,
18,True,STOMACH,Stomach,,
19,True,INTESTINAL_TRACT,Intestinal tract,,
20,True,GENITO_URINARY,Genito-urinary,,
21,True,OTHER,Other,,
