,active,value,description,definition,source
0,True,SMOKE_INHALATION,Smoke inhalation,,
1,True,HAZARDOUS_FUMES_INHALATION,Hazardous fumes inhalation,,
2,True,DIFFICULTY_BREATHING,"Difficulty breathing, shortness of breath",,
3,True,BURNS_THERMAL,"Burns, thermal",,
4,True,BURNS_SCALD,"Burns, scald",,
5,True,BURNS_CHEMICAL,"Burns, chemical",,
6,True,BURNS_ELECTRIC,"Burns, electric",,
7,True,CUT_LACERATION,Cut or laceration,,
8,True,STAB_PUNCTURE_WOUND,Stab or puncture wound,,
9,True,GUNSHOT_PROJECTILE_WOUND,Gunshot or projectile wound,,
10,True,CONTUSION_BRUISE,Contusion or bruise,,
11,True,ABRASION,Abrasion,,
12,True,DISLOCATION,Dislocation,,
13,True,STRAIN_SPRAIN,Strain or sprain,,
14,True,FRACTURE,Fracture,,
15,True,SWELLING,Swelling,,
16,True,CRUSHING,Crushing,,
17,True,AMPUTATION,Amputation,,
18,True,CARDIAC_SYMPTOMS,Cardiac symptoms,,
19,True,CARDIAC_ARREST,Cardiac arrest,,
20,True,STROKE,Stroke,,
21,True,RESPIRATORY_ARREST,Respiratory arrest,,
22,True,CHILLS,Chills,,
23,True,FEVER,Fever,,
24,True,NAUSEA,Nausea,,
25,True,VOMITING,Vomiting,,
26,True,NUMBNESS_TINGLING_PARESTHESIA,"Numbness, tingling, or paresthesia",,
27,True,PARALYSIS,Paralysis,,
28,True,FROSTBITE,Frostbite,,
29,True,PREGNANCY_CHILDBRITH_MISCARRIAGE,Pregnancy/childbirth/miscarriage,,
30,True,EYE_TRAUMA,Eye trauma,,
31,True,DROWNING,Drowning,,
32,True,FOREIGN_BODY_OBSTRUCTION,Foreign body obstruction,,
33,True,ELECTRIC_SHOCK,Electric shock,,
34,True,POISON,Poison,,
35,True,CONVULSION_SEIZURE,Convulsion or seizure,,
36,True,INTERNAL_TRAUMA,Internal trauma,,
37,True,HEMORRHAGING_INTERNAL_BLEEDING,"Hemorrhaging, internal bleeding",,
38,True,DISORIENTATION,Disorientation,,
39,True,DIZZINESS_FAINTING_WEAKNESS,"Dizziness, fainting, weakness",,
40,True,HEAT_STROKE,Heat stroke,,
41,True,DEHYDRATION,Dehydration,,
42,True,ALLERGIC_REACTION,Allergic reaction,,
43,True,DRUG_OVERDOSE_DRUG_RELATED,Drug overdose or drug-related,,
44,True,ALCOHOL_IMIPAIRMENT,Alcohol impairment,,
45,True,EMOTIONAL_PSYCHOLOGICAL_DISTRESS,Emotional or psychological distress,,
46,True,MENTAL_HEALTH,Mental health,,
47,True,SHOCK,Shock ,,
48,True,UNCONSCIOUS,Unconscious,,
49,True,PAIN_ONLY,Pain only,,
50,True,OTHER,Other,,
