,active,value_2,value_1,definition,source
0,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,"Lightning rods or arresters, antenna discharge units or other grounding devices",,
1,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,Burglar alarms,,
2,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,Electric timers,,
3,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,Fire escape devices (excluding ladders),,
4,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,"Padlocks, chain locks or other locks",,
5,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,Carbon monoxide detectors,,
6,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,Safes,,
7,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,Fire sprinklers,,
8,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,Fire extinguishers,,
9,TRUE,ALARM_ESCAPE_PROTECTION_DEVICES,Fire or smoke alarms,,
10,TRUE,CHILD_NURSERY_EQUIPMENT,Baby gates or barriers,,
11,TRUE,CHILD_NURSERY_EQUIPMENT,Playpens and play yards,,
12,TRUE,CHILD_NURSERY_EQUIPMENT,Other soft baby carriers,,
13,TRUE,CHILD_NURSERY_EQUIPMENT,Potty chairs or training seats (for children),,
14,TRUE,CHILD_NURSERY_EQUIPMENT,Shoelace fasteners (for infants),,
15,TRUE,CHILD_NURSERY_EQUIPMENT,Baby bathtub seats or rings (not toys),,
16,TRUE,CHILD_NURSERY_EQUIPMENT,Baby exercisers,,
17,TRUE,CHILD_NURSERY_EQUIPMENT,Framed baby carriers (carried on the back),,
18,TRUE,CHILD_NURSERY_EQUIPMENT,Baby harnesses,,
19,TRUE,CHILD_NURSERY_EQUIPMENT,Crib mobiles or crib gyms,,
20,TRUE,CHILD_NURSERY_EQUIPMENT,Baby carriers (bicycle-mounted),,
21,TRUE,CHILD_NURSERY_EQUIPMENT,Baby mattresses or pads,,
22,TRUE,CHILD_NURSERY_EQUIPMENT,Diaper fasteners (excluding safety pins),,
23,TRUE,CHILD_NURSERY_EQUIPMENT,Bottle warmers,,
24,TRUE,CHILD_NURSERY_EQUIPMENT,Baby scales,,
25,TRUE,CHILD_NURSERY_EQUIPMENT,High chairs,,
26,TRUE,CHILD_NURSERY_EQUIPMENT,Baby carriages,,
27,TRUE,CHILD_NURSERY_EQUIPMENT,"Cribs, not specified",,
28,TRUE,CHILD_NURSERY_EQUIPMENT,"Baby carriers, not specified",,
29,TRUE,CHILD_NURSERY_EQUIPMENT,Other baby carriers,,
30,TRUE,CHILD_NURSERY_EQUIPMENT,Portable cribs,,
31,TRUE,CHILD_NURSERY_EQUIPMENT,Portable baby swings (for home use),,
32,TRUE,CHILD_NURSERY_EQUIPMENT,Sterilizers (home use),,
33,TRUE,CHILD_NURSERY_EQUIPMENT,Baby strollers,,
34,TRUE,CHILD_NURSERY_EQUIPMENT,"Cribs, nonportable",,
35,TRUE,CHILD_NURSERY_EQUIPMENT,Car seats (for infants or children),,
36,TRUE,CHILD_NURSERY_EQUIPMENT,Baby slings and wraps,,
37,TRUE,CHILD_NURSERY_EQUIPMENT,Baby bottles or nipples,,
38,TRUE,CHILD_NURSERY_EQUIPMENT,Baby rattles,,
39,TRUE,CHILD_NURSERY_EQUIPMENT,Bassinets or cradles,,
40,TRUE,CHILD_NURSERY_EQUIPMENT,Baby changing tables,,
41,TRUE,CHILD_NURSERY_EQUIPMENT,Pacifiers or teething rings,,
42,TRUE,CHILD_NURSERY_EQUIPMENT,Diaper pails,,
43,TRUE,CHILD_NURSERY_EQUIPMENT,Baby baths or bathinettes,,
44,TRUE,CHILD_NURSERY_EQUIPMENT,Safety pins,,
45,TRUE,CHILD_NURSERY_EQUIPMENT,Attachable high chairs (including booster seats),,
46,TRUE,CHILD_NURSERY_EQUIPMENT,Baby bouncer seats (excl jumpers),,
47,TRUE,CHILD_NURSERY_EQUIPMENT,Baby walkers or jumpers,,
48,TRUE,CHILD_NURSERY_EQUIPMENT,Diapers,,
49,TRUE,CHILD_NURSERY_EQUIPMENT,Night-lights,,
50,TRUE,CHILD_NURSERY_EQUIPMENT,"Infant and toddler play centers (excluding jumpers, bouncers, and exercisers",,
51,TRUE,FARM_SUPPLIES_EQUIPMENT,Fertilizers and other chemicals for outdoor use (excluding pesticides),,
52,TRUE,FARM_SUPPLIES_EQUIPMENT,"Tractors, other or not specified",,
53,TRUE,FARM_SUPPLIES_EQUIPMENT,"Fertilizers, not specified",,
54,TRUE,FURNISHINGS_FIXTURES,"Convertible beds, hideaway beds or sofa beds",,
55,TRUE,FURNISHINGS_FIXTURES,"Books, magazines, albums or scrapbooks",,
56,TRUE,FURNISHINGS_FIXTURES,"Clocks, not electric or not battery operated or not specified",,
57,TRUE,FURNISHINGS_FIXTURES,Residential alternative energy systems for on-site power generation,,
58,TRUE,FURNISHINGS_FIXTURES,Bathtubs or showers (including fixtures or accessories,,
59,TRUE,FURNISHINGS_FIXTURES,Butane or LP gas meters,,
60,TRUE,FURNISHINGS_FIXTURES,Fireplace equipment,,
