,active,value,description,definition,source
0,True,FALL,Fall,,
1,True,JUMP,Jump,,
2,True,SLIP_TRIP,Slip or trip,,
3,True,EXPOSURE,Exposure to hazard,,
4,True,STRUCK_ASSAULTED_PERSON_ANIMAL_OBJECT,"Struck or assaulted by a person, animal, or object",,
5,True,CONTACT_WITH_OBJECT_BY_PERSONNEL,Contact with object (personnel moved into/onto),,
6,True,OVEREXERTION_STRAIN,Overexertion or strain,,
7,True,TRAPPED_CAUGHT,Trapped / Caught,,
8,True,VEHICLE_COLLISION_ACCIDENT,Vehicle Collision or Accident,Occurs while in vehicle,
9,True,STRUCK_BY_VEHICLE,Struck by vehicle,Occurs as pedestrian (example: traffic control),
10,True,MEDICAL_EVENT,"Medical event (seizure, etc.)",,
11,True,OTHER,Other,,
