,active,value,description,definition,source
0,True,ADULT_PROTECTIVE_SERVICES,Adult Protective Services,,
1,True,CHILD_PROTECTIVE_SERVICES,Child Protective Services,,
2,True,OTHER_SOCIAL_SERVICES,Other Social Services,,
3,True,HOUSING_SERVICES,Housing services,,
4,True,ANIMAL_SERVICES,Animal services,,
5,True,LAW_ENFORCEMENT,Law enforcement,,
6,True,UTILITIES,Utilities,,
7,True,FOOD_SERVICES,Food services,,
8,True,MENTAL_HEALTH_SERVICES,Mental health services,,
9,True,PARAMEDICINE,Paramedicine / Mobile Integrated Health,,
10,True,CODE_ENFORCEMENT,Code Enforcement,,
11,True,YOUTH_FIRE_SETTER_PROGRAM,Youth Fire-Setter Program,,
12,True,SUBSTANCE_TREATMENT,Substance Treatment,,
13,True,MEDICAL_SERVICES,Medical Services,,
14,True,OTHER,Other,,
