name,group,type,value_set,reference_location,possible_if,db_required,neris_core_if,neris_core_app,neris_core_cad,computed,computed_from,cardinality,map_orm_landing,map_app,definition,example,comments,api_class,NERIS Validation: Range,NIEM Definition
unit_id_linked,unit_response,Text,TRUE,unit.neris_id,UnitHist.cad_designation,TRUE,,TRUE,TRUE,TRUE,UnitHist.cad_designation_1,Single,,,Name of the unit responding to the incident in FD Spec.,"A702, PA711, E731",Unit maps to Core Department Spec,Dispatch Values,Valid unit number from Core Data Spec,"<xs:element ref=""em:ServiceCallAssignedUnit"">"
unit_id_reported,unit_response,Text,FALSE,,If not in UnitHist.cad_designation,FALSE,,FALSE,FALSE,FALSE,,Single,,,Name of the unit responding to the incident if not in FD Spec.,"A702, PA711, E731",,Dispatch Values,,
unit_staffing_reported,unit_response,Integer,FALSE,,,FALSE,,TRUE,FALSE,FALSE,,Single,,,On-scene staffing of unit.,4,On a per unit basis. Seeded from department spec. This can be from dispatch or computed in incident schema,Dispatch Values,,
unit_dispatch_point,unit_response,Point,FALSE,,DeptHist.avl_usage = TRUE,FALSE,,FALSE,FALSE,FALSE,,Single,,,WGS84 latitude of unit.,39.299236,On a per unit basis,Dispatch Values,Valid latitude within XX miles of department boundary,nc:GeographicCoordinateLatitude
time_dispatch,unit_response.time,Datetime (UTC),FALSE,,,FALSE,,TRUE,TRUE,FALSE,,Single,,,Timestamp that the unit is dispatched.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,Must not be null. Either valid timestamp.,
time_enroute_to_scene,unit_response.time,Datetime (UTC),FALSE,,,FALSE,,TRUE,TRUE,FALSE,,Single,,,Timestamp that the unit goes enroute to scene of the incident.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,Must not be null. Either valid timestamp.,"<xs:enumeration value=""En-route"">|<xs:element ref=""em:DepartureDateTime"">"
time_on_scene,unit_response.time,Datetime (UTC),FALSE,,,FALSE,,TRUE,TRUE,FALSE,,Single,,,Timestamp that the unit arrived on scene.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,Must not be null. Either valid timestamp.,"<xs:enumeration value=""On Scene"">|<xs:element ref=""em:ArrivalDateTime"">"
time_canceled_enroute,unit_response.time,Datetime (UTC),FALSE,,,FALSE,,FALSE,FALSE,FALSE,,Single,,,Timestamp for units that were canceled prior to arrival.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On a per unit basis: Required if any units are cancelled en-route. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
time_staging,unit_response.time,Datetime (UTC),FALSE,,,FALSE,,FALSE,FALSE,FALSE,,Single,,,Timestamp that the unit stages on scene.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.","<xs:enumeration value=""Staging"">"
time_at_patient,unit_response.med.time,Datetime (UTC),FALSE,,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,,,Timestamp that the provider reaches the patient's side.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On a per unit bais: If more than one patient. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
time_enroute_hospital,unit_response.med.time,Datetime (UTC),FALSE,,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,,,Timestamp that the unit statuses enroute to the hospital.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
time_arrived_hospital,unit_response.med.time,Datetime (UTC),FALSE,,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,,,Timestamp that the unit arrives at the hospital.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
hospital_destination,unit_response.med,Text,FALSE,,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,,,Name of the hospital where the patient is transported.,University of Maryland Capital Regional Medical Center,If medical,Timestamps,May be null. Either valid timestamp.,
time_transfer_to_agency,unit_response.med.time,Datetime (UTC),FALSE,,dispatch_incident_type = MEDICAL,FALSE,,FALSE,FALSE,FALSE,,Single,,,Timestamp that the provider transfers care to a transporting agency.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On a per unit basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.,Timestamps,"May be null, valid timestamp otherwise.",
